"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"American Legion Auxiliary","13-3315356","","","1946","","","American Legion Way","","New City","NY","Rockland",="10956","","","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3315356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Learning Alliance","13-3315760","","","1989","","","PO Box 136","","New York","NY","New York",="10014","","","501(c)(3) Public Charity","Human rights","","","R19 (Nonmonetary Support N.E.C.)","813219","8399","","","","","http://www.guidestar.org/profile/13-3315760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen Education Fund","13-3316326","","","1984","","","1130 Park Ave","","New York","NY","New York",="10128","","","501(c)(3) Private Nonoperating Foundation","Education","","","B11 (Single Organization Support)","813219","8399","","","","","http://www.guidestar.org/profile/13-3316326","http://www.guidestar.org/FinDocuments/1999/133/316/1999-133316326-1-F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mount Vernon Apartment Improvement Program, Inc.","13-3316605","","","1986","","","1 S 2nd Ave","","Mount Vernon","NY","Westchester",="10550","","","501(c)(3) Public Charity","Shelter and residential care","","","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","","","","http://www.guidestar.org/profile/13-3316605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jonathan L Cohen Foundation","13-3318133","2017-08-01","2018-07-31","1987","2017","990PF","1130 Park Ave Apt 11-2","","New York","NY","New York",="10128","212-440-0800","","501(c)(3) Private Nonoperating Foundation","Human services","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/13-3318133","http://www.guidestar.org/FinDocuments/2017/133/318/2017-133318133-0f450297-F.pdf","$861,236","$27,658","$833,578","$861,236","","","","$132,170","$171,545","$56,200","$84,500","","","","","$0","","","$88,000","","","","$3,500","","","","","","","","","","","","","","",""
"Spiegel Foundation","13-3318169","2017-10-01","2018-09-30","1987","2017","990PF","77 Water St Fl 9","","New York","NY","New York",="10005","212-440-0800","","501(c)(3) Private Nonoperating Foundation","Student services","Judaism","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/13-3318169","http://www.guidestar.org/FinDocuments/2018/133/318/2018-133318169-1052accf-F.pdf","$7,448,721","$519,490","$6,848,812","$7,448,721","","","","$739,847","$1,958,829","$659,169","$321,674","","","","","$0","","","$474,932","","","","$1,300","","","","","","","$3,360","","","","","","","",""
"Order of the Eastern Star Pounder Hall Inc","13-3320862","2018-07-01","2019-06-30","1940","2018","990","1400 Utica St","","Oriskany","NY","Oneida",="13424","315-736-1759","WWW.ESHOMENY.ORG","501(c)(8) (Fraternal Beneficiary Societies)","Human services","","","P75 (Senior Continuing Care Communities)","623311","8051","8052","N","","BONADIO & CO LLP","http://www.guidestar.org/profile/13-3320862","http://www.guidestar.org/FinDocuments/2018/133/320/2018-133320862-113591c4-9O.pdf","$360,951","$37,786","","$222,901","$9,186","","$213,715","$1,016,710","$1,016,710","$34","$273,660","","","","$714,482","$138,050","$0","","$952,001","$829,378","$122,623","$0","$14,631","$3,753","","$20,708","","","","","","","MARY BETH GETCHELL","","","","","0"
"Hudson Valley Community Services Inc.","13-3322100","2018-11-01","2019-10-31","1988","2018","990","40 Saw Mill River Rd","","Hawthorne","NY","Westchester",="10532","(914) 345-8888","www.hudsonvalleycs.org","501(c)(3) Public Charity","Community health care","HIV/AIDS","Special population support","E21 (Community Health Systems)","622110","8062","8069","Y","","RBT CPAS LLP","http://www.guidestar.org/profile/13-3322100","http://www.guidestar.org/FinDocuments/2018/133/322/2018-133322100-106afae2-9.pdf","$11,684,015","$6,688,852","$2,298,949","$11,169,059","","","$11,169,059","$9,822,960","$11,768,473","$177,165","$7,293,529","$7,094,448","$15,118","","$2,150,084","$514,956","$0","","$10,411,835","$8,986,423","$1,203,176","$222,236","$31,100","","$7,195","$34,245","","","$32,061","$135,397","","","ANDREA STRAUS","Mr. Jeff Kraus ","Mr. Jay Dewey ","Public Relations","jdewey@hudsonvalleycs.org","146"
"Orthodox Christian Adoption Referral Service","13-3322449","","","1972","","","PO Box 675","","Syosset","NY","Nassau",="11791","","","501(c)(3) Public Charity","Adoption","","","P31 (Adoption)","624110","8322","","","","","http://www.guidestar.org/profile/13-3322449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shore Icare","13-3323120","2018-09-01","2019-08-31","1988","2018","990","55 S Broadway Ste 2","","Tarrytown","NY","Westchester",="10591","914-328-1896","WWW.SHELTERINGTHEHOMELESS.ORG","501(c)(3) Public Charity","Housing for the homeless","Homeless shelters","","P85 (Homeless Services/Centers)","624190","8322","","N","","NCHENG LLP","http://www.guidestar.org/profile/13-3323120","http://www.guidestar.org/FinDocuments/2018/133/323/2018-133323120-10f8de7d-9.pdf","$643,093","$208,981","","$387,162","","","$387,162","$161,008","$179,427","$1,104","$99,143","","$0","","$60,761","$255,931","$243,010","","$181,177","$140,107","$33,791","$7,279","$11,374","","","$10,433","$6,192","","","","","","ROSEMARIE NOONAN","","","","","0"
"Compassion Outreach Inc","13-3323182","","","1986","","","52 N Broadway","","White Plains","NY","Westchester",="10603","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3323182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Manhattan Youth Recreation and Resources, Inc.","13-3323378","2017-07-01","2018-06-30","1987","2017","990","225 Broadway Ste 1020","","New York","NY","New York",="10007","","www.manhattanyouth.org","501(c)(3) Public Charity","Community recreation","Basketball","Community service for youth","N31 (Community Recreational Centers)","713940","7991","7997","N","","Valles Vendiola LLP","http://www.guidestar.org/profile/13-3323378","http://www.guidestar.org/FinDocuments/2018/133/323/2018-133323378-11414f5d-9.pdf","$14,557,290","$3,826,770","","$12,196,328","$3,910,823","","$8,285,505","$18,750,751","$18,750,751","$71,362","$8,319,934","$8,252,047","","","$10,359,455","$2,360,962","$0","","$18,342,754","$17,565,111","$777,643","$0","","$101,069","","$185,100","","","","","","","","Mr. Robert Townley ","Mr. Robert Townley ","Executive Director","bob@manhattanyouth.org","1285"
"The Open Congregation Inc","13-3323631","","","1986","","","352 Park Ave S Ste 703","","New York","NY","New York",="10010","","","501(c)(3) Public Charity","Special population support","","","P80 (Services to Promote the Independence of Specific Populations)","624120","8322","","","","","http://www.guidestar.org/profile/13-3323631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jcc Rockland Inc","13-3329286","2018-07-01","2019-06-30","1993","2018","990","450 W Nyack Rd","","West Nyack","NY","Rockland",="10994","845-362-4400","JCCROCKLAND.ORG","501(c)(3) Public Charity","Human services","","","P28 (Neighborhood Center, Settlement House)","624190","8322","","N","N","Berard & Associates CPAs PC","http://www.guidestar.org/profile/13-3329286","http://www.guidestar.org/FinDocuments/2018/133/329/2018-133329286-107d0449-9.pdf","$2,897,043","$880,118","$0","$156,778","$25,940","","$130,838","$7,121,723","$7,210,863","$6,365","$1,543,656","","$74,269","$0","$5,471,185","$2,740,265","$0","","$7,100,131","$5,750,199","$1,200,699","$149,233","$18,615","$124,460","$0","$67,040","$34,597","$0","$0","$0","","$0","","","","","","406"
"General Development & Orientation Council Inc","13-3333051","2017-07-01","2018-06-30","1992","2017","990EZ","300 E 175th St","","Bronx","NY","Bronx",="10457","347-649-3083","N/A","501(c)(3) Public Charity","Youth services","","","P30 (Children's and Youth Services)","624110","8322","","","","CERINI & ASSOCIATES LLP","http://www.guidestar.org/profile/13-3333051","http://www.guidestar.org/FinDocuments/2018/133/333/2018-133333051-10411ee1-Z.pdf","$377,794","$202,794","","-$58,953","","","","$33","$33","","","","","","","$436,747","","","$775","","","","","","","","","","","","","","","","","","",""
"Edna Fauser Brown Foundation Inc","13-3333176","","","1989","","","4936 Tilden St NW","","Washington","DC","District of Columbia",="20016","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3333176","http://www.guidestar.org/FinDocuments/2003/133/333/2003-133333176-02039e97-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Legion Auxiliary","13-3336969","","","1946","","","PO Box 213","","Campbell","NY","Steuben",="14821","","","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3336969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Bronx National Council Negro Women Child Development Ctr Inc","13-3338239","2017-07-01","2018-06-30","2015","2017","990","4035 White Plains Rd","","Bronx","NY","Bronx",="10466","718-231-7100","","501(c)(3) Public Charity","Early childhood education","","","P33 (Child Day Care)","624410","8351","","Y","","GRACE NKENKE CPA","http://www.guidestar.org/profile/13-3338239","http://www.guidestar.org/FinDocuments/2018/133/338/2018-133338239-1097711e-9.pdf","$509,262","$252,833","","$87,200","$108,957","","-$21,757","$2,223,387","$2,223,387","","$2,160,682","$2,152,936","","","$58,789","$422,062","$0","","$2,182,747","$1,967,853","$214,894","$0","$0","$0","$0","$20,717","$0","$0","$0","$0","","","HUGH CAMPBELL","","","","","60"
"American Friends of Yeshivath Meor Hatalmud","13-3339942","2018-01-01","2018-12-31","1986","2018","990","C/O M Brown 138-46 76th Ave","","Flushing","NY","Queens",="11367","212-962-6100","","501(c)(3) Public Charity","Elementary and secondary education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","N","","WASSERBRETTLERKLAR & LIPSTEIN LLP CPA","http://www.guidestar.org/profile/13-3339942","http://www.guidestar.org/FinDocuments/2017/133/339/2017-133339942-1004caa5-9.pdf","$5,950","$5,950","","-$149,050","","","-$149,050","$612,362","$612,362","","$612,362","","","","","$155,000","$155,000","","$618,143","$593,973","$7,897","$16,273","$1,050","","","$1,800","","","","","","","MARTIN BRAUN","","","","","0"
"The Rusty Staub Foundation Inc","13-3340651","2018-01-01","2018-12-31","1988","2018","990","C/O 100 Corporate Place No 203","","Peabody","MA","Essex",="01960","978-535-2295","RUSTYSTAUBFOUNDATION.COM","501(c)(3) Public Charity","Education","Philanthropy","","T20 (Private Grantmaking Foundations)","813211","6732","","N","","LAROSA & BILLE PC","http://www.guidestar.org/profile/13-3340651","http://www.guidestar.org/FinDocuments/2018/133/340/2018-133340651-10f0aa9d-9.pdf","$431,835","$431,835","","$431,835","","","$431,835","$704,206","$704,206","$1,939","$702,267","","","","","$0","$0","","$1,546,684","$1,068,500","$221,033","$257,151","$7,500","","","","","","","","","","PHILIP M MCLAUGHLIN","","","","","1"
"NY Police and Fire Widows & Children's Benefit Fund, Inc.","13-3340675","2018-01-01","2018-12-31","1987","2018","990","156 W 56th St Ste 901","","New York","NY","New York",="10019","(646) 731-9631","www.answerthecall.org","501(c)(3) Public Charity","Public safety","Basic and emergency aid","","M12 (Fund Raising and/or Fund Distribution)","813219","8399","","N","","GRANT THORNTON LLP","http://www.guidestar.org/profile/13-3340675","http://www.guidestar.org/FinDocuments/2018/133/340/2018-133340675-17017256-9.pdf","$52,153,100","$6,555,326","$45,065,551","$52,118,964","$1,990,054","$0","$50,128,910","$6,171,505","$7,322,153","$2,112,955","$3,587,588","","$0","$0","$0","$34,136","$0","$0","$5,042,333","$4,269,167","$412,613","$360,553","$62,598","$12,858","$0","$59,650","$0","$0","$0","$15,417","","$0","John W Neary","Ms. Lauren Profeta ","Ms. Lauren Profeta ","Director of Development","Lauren.Profeta@answerthecall.org","4"
"Gramercy Visiting Neighbors Inc","13-3341203","","","1986","","","311 1st Ave","","New York","NY","New York",="10003","","","501(c)(3) Public Charity","Senior services","","","P81 (Senior Centers/Services)","624120","8322","","","","","http://www.guidestar.org/profile/13-3341203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THE SUMMER CAMP INC","13-3341224","2017-10-01","2018-09-30","1986","2017","990","8 Church St","","Bridgton","ME","Cumberland",="04009","(207) 647-5278","thesummercamp.org","501(c)(3) Public Charity","Camps","Youth organizing","","O50 (Youth Development Programs)","813410","8641","8699","N","","OUELLETTE & ASSOCIATES PA","http://www.guidestar.org/profile/13-3341224","http://www.guidestar.org/FinDocuments/2019/133/341/2019-133341224-116a971f-9.pdf","$393,698","$340,638","","$371,494","","","$371,494","$630,387","$742,402","$3,295","$628,157","$38,280","","","","$22,204","$0","","$610,161","$486,332","$109,897","$13,932","$9,232","","","$43,003","","","","$2,275","","","TRACY ST ONGE-MAY","Ms. Tracy St. Onge-May ","Tracy St. Onge-May ","Executive Director","info@thesummercamp.org","52"
"Women and Social Work Inc","13-3341487","","","1989","","","115 Central Park W","","New York","NY","New York",="10023","","","501(c)(3) Public Charity","Human services","","","P99 (Human Services - Multipurpose and Other N.E.C.)","624190","8322","","","","","http://www.guidestar.org/profile/13-3341487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ps 87 PA Inc","13-3343008","2018-07-01","2019-06-30","1987","2018","990","160 W 78th St","","New York","NY","New York",="10024","212-877-3402","http://www.87afterschool.org/","501(c)(3) Public Charity","Elementary and secondary education","Elementary education","Parent-teacher involvement","B94 (Parent Teacher Group)","813410","8641","8699","N","N","SCHALL & ASHENFARB CPAS","http://www.guidestar.org/profile/13-3343008","http://www.guidestar.org/FinDocuments/2018/133/343/2018-133343008-1095052e-9.pdf","$1,362,856","$1,190,939","$134,757","$1,267,319","$6,742","","$1,260,577","$1,992,032","$2,028,000","$4,752","$763,945","","$0","$0","$1,222,283","$95,537","$0","","$2,083,967","$1,593,195","$391,727","$99,045","$0","$0","$0","$22,786","$0","$0","$0","$0","","$0","Wilson Cano","","","","","68"
"Adonai Arts Foundation Inc","13-3343494","","","1986","","","120 W 69th St","","New York","NY","New York",="10023","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3343494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Staten Island Federation of Parent Teacher Associations","13-3343943","2018-07-01","2019-06-30","2007","2018","990EZ","1860 Forest Ave","","Staten Island","NY","Richmond",="10303","718-442-2219","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","N","","http://www.guidestar.org/profile/13-3343943","http://www.guidestar.org/FinDocuments/2019/133/343/2019-133343943-17005384-Z.pdf","$624","$624","","$624","","","","","","","$1,085","","$9,567","","","","","","$6,831","","","","","","","","","","","","","","","","","","",""
"Multitasking Systems of New York Inc","13-3346371","2018-01-01","2018-04-30","1992","2017","990EZ","120 Broadway Ste 2840","","New York","NY","New York",="10271","212-337-5912","WWW.VILLAGECAKE.ORG","501(c)(3) Public Charity","Employment","Special population support","","J30 (Vocational Rehabilitation (includes Job Training and Employment for Disabled and Elderly))","624310","8331","","","","MARKS PANETH LLP","http://www.guidestar.org/profile/13-3346371","http://www.guidestar.org/FinDocuments/2018/133/346/2018-133346371-0f909fc8-Z.pdf","$0","","","$0","","","","","$0","","","","","","","$0","","","","","","","","","","","","","","","","","","","","","",""
"Presbyterian Homes Foundation Inc C/O Tobin and Dempf","13-3348349","2018-01-01","2018-12-31","1986","2018","990","PO Box 854","","New Hartford","NY","Oneida",="13413","315-797-7500","WWW.PRESBYTERIANHOME.COM","501(c)(3) Public Charity","Senior assisted living","","","P75 (Senior Continuing Care Communities)","623311","8051","8052","N","","BONADIO & CO LLP","http://www.guidestar.org/profile/13-3348349","http://www.guidestar.org/FinDocuments/2018/133/348/2018-133348349-17077919-9.pdf","$2,200,405","$181,881","$1,266,590","$2,189,171","$133,007","","$2,056,164","$400,025","$697,616","$59,913","$242,681","","$0","","","$11,234","$0","","$158,898","$130,916","$26,784","$1,198","$4,298","$1,198","","$285","","$9,324","","","","","MICHAEL SWEENEY","","","","","0"
"American Womans Society of Certfied Public Accountants of NYC Inc","13-3348537","","","1988","","","5 Times Sq Fl 31","","New York","NY","New York",="10036","","","501(c)(6) (Business Leagues, etc.)","Women's rights","","","R24 (Women's Rights)","813311","8399","","","","","http://www.guidestar.org/profile/13-3348537","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mary E. Cameron Fund of the Chester Public Library, Inc.","13-3349020","","","1987","","","1784 Kings Hwy","","Chester","NY","Orange",="10918","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3349020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","13-3349191","","","1954","","","2 Trinity Pl","","Spring Valley","NY","Rockland",="10977","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3349191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New York State Council of Senior Citizens","13-3350192","","","1986","","","275 7th Ave Fl 6","","New York","NY","New York",="10001","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Senior services","","","P81 (Senior Centers/Services)","624120","8322","","","","","http://www.guidestar.org/profile/13-3350192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fbiaa Memorial College Fund","13-3351127","2017-07-01","2018-06-30","1985","2017","990","PO Box 320215","","Alexandria","VA","Alexandria City",="22320","(703) 247-2173","https://www.fbiaa.org/memorial-college-fund","501(c)(3) Public Charity","Education","Higher education","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","N","","Lane & Company, CPAs","http://www.guidestar.org/profile/13-3351127","http://www.guidestar.org/FinDocuments/2018/133/351/2018-133351127-1051ed25-9.pdf","$10,103,885","$414,377","$9,689,508","$10,099,198","","","$10,099,198","$1,408,775","$3,422,938","$193,754","$26,084","","$728,653","","","$4,687","$0","","$614,629","$533,693","$80,804","$132","$15,400","","","$1,320","","$64,480","","","","","JEAN.K. O'CONNOR","","Susie Jackson ","Director","sjackson@fbiaa.org","0"
"Homes for the Homeless Inc","13-3351420","2017-07-01","2018-06-30","1991","2017","990","36 Cooper Sq Fl 3","","New York","NY","New York",="10003","212-529-5252","WWW.HFHNYC.ORG","501(c)(3) Public Charity","Family services","Homeless shelters","","P85 (Homeless Services/Centers)","624190","8322","","Y","Y","GRANT THORNTON LLP","http://www.guidestar.org/profile/13-3351420","http://www.guidestar.org/FinDocuments/2018/133/351/2018-133351420-109245d6-9.pdf","$7,418,782","$183,449","$0","$4,792,259","$0","$0","$4,792,259","$24,991,170","$24,991,170","$2,090","$24,770,159","$24,590,574","$0","$0","$209,403","$2,626,523","$0","$0","$26,329,859","$23,649,407","$2,680,452","$0","$53,908","$79,300","$320,150","$304,053","$1,162","$0","$33,000","$167,856","","$0","AURORA ZEPEDA EXECUTIVE VP","","","","","508"
"Marine Corps League","13-3352118","","","1946","","","37 Park Ave","","Lockport","NY","Niagara",="14094","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3352118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Friends of Jiangnan University Inc","13-3352215","","","1986","","","125 Broad St","","New York","NY","New York",="10004","","","501(c)(3) Public Charity","Education","","","B11 (Single Organization Support)","813219","8399","","","","","http://www.guidestar.org/profile/13-3352215","http://www.guidestar.org/FinDocuments/2001/133/352/2001-133352215-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Key Club International","13-3353951","","","1948","","","171 Hudson Ave","","Troy","NY","Albany",="12183","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Community service for youth","","","O51 (Youth Community Service Clubs)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3353951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Service Alliance for Youth","13-3354150","2018-07-01","2019-06-30","1990","2018","990EZ","3149 Bruckner Blvd","","Bronx","NY","Bronx",="10461","718-829-7574","N/A","501(c)(3) Public Charity","Youth services","","","P30 (Children's and Youth Services)","624110","8322","","","","STEPHEN FRANCIOSA CPA","http://www.guidestar.org/profile/13-3354150","http://www.guidestar.org/FinDocuments/2018/133/354/2018-133354150-0fee5767-Z.pdf","$14,883","$710","","$14,358","","","","$1,385","$1,385","","$1,385","","","","","$525","","","$12,500","","","","","","","","","","","","","","","","","","",""
"E Leo & Louise Spain Scholarship Foundation","13-3354188","2017-10-01","2018-09-30","1975","2017","990PF","86 Glen St","","Glens Falls","NY","Warren",="12801","518-792-3856","","501(c)(3) Private Nonoperating Foundation","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3354188","http://www.guidestar.org/FinDocuments/2018/133/354/2018-133354188-10423a5e-F.pdf","$125,493","$6,985","","$125,493","","","","$8,993","$53,655","$8,299","$4,500","","","","","$0","","","$6,464","","","","$975","","","","","","","","","","","","","","",""
"Riverstone Senior Life Services","13-3355074","2018-07-01","2019-06-30","1988","2018","990","99 Fort Washington Ave Bsmt","","New York","NY","New York",="10032","(212) 927-5600","http://www.riverstonenyc.org","501(c)(3) Public Charity","Financial counseling","Developmental disability services","Senior services","P81 (Senior Centers/Services)","624120","8322","","N","","A F PAREDES & CO CPA'S","http://www.guidestar.org/profile/13-3355074","http://www.guidestar.org/FinDocuments/2018/133/355/2018-133355074-10737b57-9.pdf","$460,026","$258,328","","$357,903","","","$357,903","$1,839,195","$1,846,953","","$1,207,037","$993,056","$21,544","","$610,614","$102,123","$0","","$1,817,688","$1,639,063","$178,625","$0","$9,250","$2,516","","$12,797","","","","","","","ILANA DUNNER","Ms. Rebecca Carel ","Ms. Ilana Dunner ","Executive Director","idunner@riverstonenyc.org","36"
"Major League Baseball","13-3355155","2018-01-01","2018-12-31","1987","2018","990","245 Park Ave Fl 31","","New York","NY","New York",="10167","(212) 931-7822","baseballassistanceteam.com","501(c)(3) Public Charity","Alumni relations","Baseball and softball","Basic and emergency aid","B84 (Alumni Associations)","813410","8641","8699","N","","ERNST & YOUNG US LLP","http://www.guidestar.org/profile/13-3355155","http://www.guidestar.org/FinDocuments/2018/133/355/2018-133355155-17120253-9.pdf","$21,092,599","$1,217,901","$19,831,115","$20,674,682","$0","$0","$20,674,682","$5,173,729","$14,109,209","$434,031","$3,356,468","","$0","$0","$0","$417,917","$0","$0","$5,059,343","$4,931,858","$127,485","$0","$0","$0","$0","$0","$0","$127,485","$0","$0","","$0","Randy Winn","Erik Nilsen ","Katie Lentz ","Administrator","katie.lentz@mlb.com","0"
""I Have A Dream" Foundation","13-3355315","2017-09-01","2018-08-31","1995","2017","990","322 8th Ave Ste 202","","New York","NY","New York",="10001","(212) 22935484","www.ihavedreamfoundation.org","501(c)(3) Public Charity","Elementary and secondary education","Education services","Youth organizing","O50 (Youth Development Programs)","813410","8641","8699","N","Y","SCHWARTZ & COMPANY LLP","http://www.guidestar.org/profile/13-3355315","http://www.guidestar.org/FinDocuments/2018/133/355/2018-133355315-11103606-9.pdf","$3,183,897","$468,718","$2,536,412","$2,812,977","$2,559,220","","$253,757","$1,673,033","$4,065,880","$82,040","$848,333","","$608,953","","$72,429","$370,920","$0","","$2,911,790","$2,035,272","$435,630","$440,888","$79,366","","","$36,437","","","$160,343","","","","LLEWELLYN HADEN","Mrs. Eugena Oh ","Ms. Tamara Tucker ","Senior Director of Development ","ttucker@ihaveadreamfoundation.org","17"
"Hebrew Hospital Home Foundation Inc","13-3358384","2018-01-01","2018-12-31","1988","2018","990","1311 Mamaroneck Ave","","White Plains","NY","Westchester",="10605","914-949-6400","","501(c)(3) Public Charity","Health","Nursing homes","","E11 (Single Organization Support)","813219","8399","","N","","JAMES A. FASOLINO","http://www.guidestar.org/profile/13-3358384","http://www.guidestar.org/FinDocuments/2016/133/358/2016-133358384-0e8e06a2-9.pdf","$26,774,288","$156,366","","$26,784,288","","","$26,784,288","$0","$0","","","","","","","-$10,000","$0","","$13,000","$0","$13,000","$0","","","","$3,000","","","$10,000","","","","MARY FRANCES BARRETT","","","","","0"
"Chemung County Child Care Council Inc","13-3358600","2019-01-01","2019-12-31","1986","2019","990","1580 Lake St # 200","","Elmira","NY","Chemung",="14901","607-734-3941","WWW.CHEMCHILDCARE.COM","501(c)(3) Public Charity","Human services information","Child care","","P33 (Child Day Care)","624410","8351","","Y","","EFPR GROUP CPAS PLLC","http://www.guidestar.org/profile/13-3358600","http://www.guidestar.org/FinDocuments/2018/133/358/2018-133358600-1117d237-9.pdf","$136,726","$28,382","","$41,952","","","$41,952","$1,312,750","$1,312,750","","$1,307,697","$1,119,952","","","$5,053","$94,774","$25,000","","$1,267,443","$1,181,377","$86,066","$0","","","$6,625","$7,893","$583","","","","","","RUTH HARVEY","","","","","15"
"Parkside Senior Activities Inc","13-3359540","","","1987","","","644 Adee Ave","","Bronx","NY","Bronx",="10467","","","501(c)(5) (Labor, Agricultural and Horticultural Organizations)","Senior services","","","P81 (Senior Centers/Services)","624120","8322","","","","","http://www.guidestar.org/profile/13-3359540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France-Libertes Inc C/O Coblence & Warner","13-3360587","","","1987","","","415 Madison Ave","","New York","NY","New York",="10017","","","501(c)(3) Public Charity","Human rights","","","R99 (Civil Rights, Social Action, and Advocacy N.E.C.)","813311","8399","","","","","http://www.guidestar.org/profile/13-3360587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Education in A Disabled Gay Environment Inc","13-3361101","","","1988","","","PO Box 305","","New York","NY","New York",="10014","","","501(c)(3) Public Charity","Special needs education","","","B28 (Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled)","611699","7999","8299","","","","http://www.guidestar.org/profile/13-3361101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Create Housing Development Fund Corporation","13-3363269","2017-07-01","2018-06-30","1988","2017","990EZ","73 Malcolm X Blvd","","New York","NY","New York",="10026","212-663-1596","WWW.CREATEINC.ORG","501(c)(3) Public Charity","Homeless shelters","","","L41 (Temporary Shelter For the Homeless)","624221","8322","","","","EFPR GROUP CPAS PLLC","http://www.guidestar.org/profile/13-3363269","http://www.guidestar.org/FinDocuments/2018/133/363/2018-133363269-107acacd-Z.pdf","$118,102","","","$118,102","","","","","$0","","","","","","","$0","","","","","","","","","","","","","","","","","","","","","",""
